"Franzoesisch","Deutsch"
"le monument (m)","das Denkmal"
"la Defense (f)","La Defense"
"l'exposition (f)","die Ausstellung"
"l'architecture (f)","die Architektur"
"la construction (f)","die Konstruktion"
"au centre de","im Zentrum von"
"a l'epoque (loc)","damals"
"mesurer (v)","messen"
"le million (m)","die Million"
"moderne (adj)","modern"
"ecologique (adj)","oekologisch"
"l'energie (f)","die Energie"
"l'energie solaire (f)","die Sonnenenergie"
"le soleil (m)","die Sonne"
"le vent (m)","der Wind"
"le bureau (m)","das Buero"
"le dessin (m)","die Zeichnung"
"l'entreprise (f)","das Unternehmen"
"la voix (f)","die Stimme"
"la revolution francaise (f)","die Franzoesische Revolution"
"le palais (m)","der Palast"
"le Palais du Trocadero (m)","der Trocadero-Palast"
"le Trocadero (m)","der Trocadero"
"immobilier (m)","die Immobilien"
