"Franzoesisch","Deutsch"
"l'ONG (f)","die Nichtregierungsorganisation"
"le chomage (m)","die Arbeitslosigkeit"
"choisir qc (v)","etw. waehlen"
"l'ideal (m)","das Ideal"
"le tas (m)","der Haufen"
"le slogan (m)","der Slogan"
"le logo (m)","das Logo"
"la chance (f)","das Glueck"
"s'engager (v)","sich engagieren"
"reflechir (v)","nachdenken"
"le papy (m)","der Opa"
"la mamie (f)","die Oma"
"le sommet (m)","der Gipfel"
"quand (adv)","wann"
"la natation (f)","das Schwimmen"
"le volley (m)","Volleyball"
"le handball (m)","Handball"
"le scuba (m)","Tauchen"
