"Franzoesisch","Deutsch"
"la mediatrice/le mediateur (f/m)","der/die Streitschlichter/in"
"le conseil (m)","der Konflikt"
"la conciliation (f)","die Versoehnung"
"le documentaliste/la documentaliste (m/f)","der/die Bibliothekar/in"
"la maladie (f)","die Krankheit"
"la technologie (f)","die Technologie"
"avoir la possibilite de faire qc (v)","die Moeglichkeit haben, etw. zu tun"
"la possibilite (f)","die Moeglichkeit"
"la recreation (f)","die Pause"
"le droit (m)","das Recht"
"qu'il suffise de faire qc (v)","es reicht, etw. zu tun"
"agir (v)","handeln"
"l'action (f)","die Aktion"
"la reunion (f)","das Treffen"
"ecologique (adj)","oekologisch"
"jeter qc (v)","etw. wegwerfen"
"le combat (m)","der Kampf"
"la poubelle (f)","der Muelleimer"
"le desastre (m)","das Desaster"
"la piece (f)","das Theaterstueck"
"le jeu (m)","das Spiel"
"Charles Peguy (m)","Charles Peguy"
"le sponsor (m)","der Sponsor"
"chaque (adj)","jede/r/s"
"le pays (m)","das Land"
