"Franzoesisch","Deutsch"
"le restaurant (m)","das Restaurant"
"participer a qc (v)","an etw. teilnehmen"
"la course (f)","das Rennen"
"la course aux garcons (f)","das Jungenrennen"
"se depecher (v)","sich beeilen"
"le flic (m)","der Bulle"
"le flicaille (f)","die Polizei"
"l'arrondissement (m)","der Stadtbezirk"
"le onzieme arrondissement","der 11. Stadtbezirk"
"le quatorzieme arrondissement","der 14. Stadtbezirk"
"le trottoir (m)","der Buergersteig"
"en retard (loc)","zu spaet"
"se lever (v)","aufstehen"
"se doucher (v)","sich duschen"
"s'habiller (v)","sich anziehen"
"se coiffer (v)","sich frisieren"
"se maquiller (v)","sich schminken"
"etre content/contente de faire qc (v)","zufrieden sein"
"les gens (m, pl)","die Leute"
"stresse/stressee (adj)","gestresst"
"normal/normale (adj)","normal"
"la journee (f)","der Tag"
"la semaine (f)","die Woche"
"se coucher (v)","schlafen gehen"
"s'endormir (v)","einschlafen"
"s'ennuyer (v)","sich langweilen"
