"Franzoesisch","Deutsch"
"etre de l'avis de (v)","der Meinung sein"
"le journal (m)","das Journal"
"la presse (f)","die Presse"
"l'article (m)","der (Zeitungs-)Artikel"
"la mission (f)","der Auftrag"
"secret/secrete (adj)","geheim"
"le document (m)","das Dokument"
"l'etranger (m)","das Ausland"
"l'etranger (m)","der Fremde"
"le familier (m)","der/die Vertraute"
"calculer (v)","berechnen"
"le chiffre (m)","die Ziffer"
"la calculatrice (f)","der Taschenrechner"
"nul/nulle (adj)",""
"le sexe (m)","das Geschlecht"
"l'amitie (f)","die Freundschaft"
"la parole (f)","das Wort"
"le sourire (m)","das Laecheln"
"la tendresse (f)","die Zaertlichkeit"
"le temps (m)","die Zeit"
