"Franzoesisch","Deutsch"
"embrasser qn (v)","jdn. kuessen"
"gentil/gentille (adj)","nett, freundlich"
"le sourire (m)","das Laecheln"
"un baiser (m)","ein Kuss"
"le chagrin (m)","der Kummer"
"se plaindre (v)","sich beklagen"
"le coup de foudre (m)","die Liebe auf den ersten Blick"
"le mythe (m)","der Mythos"
"avoir confiance en soi (v)","Selbstvertrauen haben"
"le brevet (m)","das Brevet"
"l'abri (m)","der Schutz"
"le parrain (m)","der Patenonkel"
"le lycee (m)","die Oberstufe"
"la sixieme (f)","die 6. Klasse"
"le brevet (m)","die Abschlusspruefung"
"le college (m)","die Unterstufe"
"le lycee (m)","die Oberstufe"
