"Franzoesisch","Deutsch"
"prendre des notes (v)","sich Notizen machen"
"informer qn de qc (v)","jdn. ueber etw. informieren"
"le resultat (m)","das Ergebnis"
"le resultat (m)","das Resultat"
"demander a qn de faire qc (v)","jdn. bitten, etw. zu tun"
"le resume (m)","die Zusammenfassung"
"la responsabilite (f)","die Verantwortung"
"responsable (adj)","verantwortlich"
"poser (v)","stellen"
"professionnel/professionnelle (adj)","beruflich"
"le job (m)","der Job"
"l'annee derniere (loc)","letztes Jahr"
"la ferme (f)","der Bauernhof"
"l'auberge (f)","die Herberge"
"le restaurant (m)","das Restaurant"
"la recolte (f)","die Ernte"
"au mois de (loc)","im Monat"
"le chocolatier/la chocolatiere (m/f)","der/die Chocolatier/in"
"la vente (f)","der Verkauf"
"le contact (m)","der Kontakt"
"la baby-sitter (f)","der Babysitter"
"s'occuper de qn/qc (v)","sich um jdn/etw. kuemmern"
"l'ordures (f, pl)","der Muell"
"l'epluchure (f)","die Schale"
