"Franzoesisch","Deutsch"
"le monde (m)","die Welt"
"l'environnement (m)","die Umwelt"
"se plaindre de qc (v)","sich ueber etw. beklagen"
"le developpement (m)","die Entwicklung"
"le developpement durable (m)","die nachhaltige Entwicklung"
"le secteur (m)","der Sektor"
"l'informatique (f)","die Informatik"
"la communication (f)","die Kommunikation"
"l'energie (f)","die Energie"
"l'energie renouvelable (f)","die erneuerbare Energie"
"la sante (f)","die Gesundheit"
"l'alimentation (f)","die Ernaehrung"
"la restauration (f)","die Gastronomie"
"l'hotellerie (f)","das Hotelwesen"
"le social (m)","der Sozialbereich"
"les ressources (f, pl)","die Ressourcen"
"les ressources humaines (f, pl)","die Personalabteilung"
"la recherche (f)","die Forschung"
"se former (v)","sich ausbilden"
"la formation (f)","die Ausbildung"
"l'apprentissage (m)","die Lehre"
