"Franzoesisch","Deutsch"
"long/longue (adj)","lang"
"le voyage (m)","die Reise"
"ennuyeux/ennuyeuse (adj)","langweilig"
"le vice (m)","das Laster"
"la specialite (f)","die Spezialitaet"
"le film (m) d'animation","der Animationsfilm"
"a moitie (loc)","zur Haelfte"
"la bande-annonce (f)","der Film-Trailer"
"plaire a qn (v)","jdm. gefallen"
"le film (m)","der Film"
"le jeu (m)","das Spiel"
"jeune (adj)","jung"
"vieux/vieille (adj)","alt"
"avoir envie de faire qc (v)","Lust haben, etw. zu tun"
"un abonnement (m)","ein Abonnement"
"ca ne m'interesse pas","Das interessiert mich nicht"
"en general (loc)","im Allgemeinen"
"la sensation (f)","das Gefuehl"
"la femelle (f)","das Weibchen"
