"Franzoesisch","Deutsch"
"la vie professionnelle (f)","das Berufsleben"
"le pays (m)","das Land"
"la region (f)","die Region"
"travailler (v)","arbeiten"
"aimer","moegen"
"ne... jamais (neg)","nie"
"le chomage (m)","die Arbeitslosigkeit"
"l'organisation (f)","die Organisation"
"le metier (m)","der Beruf"
"choisir","waehlen"
"la chance (f)","das Glueck"
"le boulot (m)","die Arbeit"
"le but (m)","das Ziel"
"la jeunesse (f)","die Jugend"
"le futur (m)","die Zukunft"
"la carriere (f)","die Karriere"
"gagner (v)","gewinnen"
"l'argent (m)","das Geld"
"le salaire (m)","das Gehalt"
"le projet (m)","das Projekt"
"faire des etudes","studieren"
"la passion (f)","die Leidenschaft"
