"Franzoesisch","Deutsch"
"parfait/parfaite (adj)","manchmal"
"en cachette (loc)","heimlich"
"le reportage (m)","die Reportage"
"amusant/amusante (adj)","amuesant"
"la radio (f)","das Radio"
"le magazine (m)","die Zeitschrift"
"le chanteur/la chanteuse (m/f)","der/die Saenger/in"
"le mensonge (m)","die Luege"
"le degat (m)","der Schaden"
"l'erreur (f)","der Fehler"
"le remords (m)","die Gewissensbisse"
"le prince (m)","der Prinz"
"le trone (m)","der Thron"
"seulement (adv)","nur"
"le franc (m)","der Franc"
"le delegue/la deleguee (m/f)","der/die Delegierte/r"
"le representant/la representante (m/f)","der/die Vertreter/in"
"voter pour qn (v)","fuer jdn. waehlen"
"l'importance (f)","die Wichtigkeit"
"la discussion (f)","die Diskussion"
"discuter de qc (v)","ueber etw. diskutieren"
"donner la parole a qn (v)","jdm. das Wort geben"
