classe,page,de,en
Klasse 9 E-Kurs,224,Dose,can
Klasse 9 E-Kurs,224,Haelfte,half
Klasse 9 E-Kurs,224,Kreditkarte,credit card
Klasse 9 E-Kurs,224,jn. feuern; entlassen,fire sb.
Klasse 9 E-Kurs,224,(sich) kuessen,kiss
Klasse 9 E-Kurs,224,sich zurueckziehen; zurueckweichen,pull back
Klasse 9 E-Kurs,224,liegen,"lie, lay, lain"
Klasse 9 E-Kurs,224,"handeln; sich verhalten; so tun, als ob",act
Klasse 9 E-Kurs,224,Zehntklaessler/in,tenth grader
Klasse 9 E-Kurs,224,Baeckerei,bakery
Klasse 9 E-Kurs,224,erwaehnen; nennen,mention
Klasse 9 E-Kurs,224,Angestellter/Angestellte; Empfangsmitarbeiter/in,clerk
Klasse 9 E-Kurs,224,sofort,immediately
Klasse 9 E-Kurs,224,etwas an jn. reichen; ueberreichen,hand sth. over
Klasse 9 E-Kurs,224,allein; selbststaendig,on one's own
