classe,page,de,en
Klasse 9 E-Kurs,209,Sorgfalt; Vorsicht,care
Klasse 9 E-Kurs,209,beschuetzen vor,protect (from)
Klasse 9 E-Kurs,209,da drueben; dort drueben,over there
Klasse 9 E-Kurs,209,bluten,"bleed (bled, bled)"
Klasse 9 E-Kurs,209,Roetung; Roete,redness
Klasse 9 E-Kurs,209,bei jemandem Fieber messen,take sb.'s temperature
Klasse 9 E-Kurs,209,Mannschaft; Team; Clique,crew
Klasse 9 E-Kurs,209,Koerper,body
Klasse 9 E-Kurs,209,lackieren; bemalen; streichen,paint
Klasse 9 E-Kurs,209,traditionell,traditional
Klasse 9 E-Kurs,209,breit; weit,wide
Klasse 9 E-Kurs,209,fast; nahezu; beinahe,almost
Klasse 9 E-Kurs,209,einheimisch (in),indigenous (to)
Klasse 9 E-Kurs,209,einfach; simpel,simple
Klasse 9 E-Kurs,209,Krankheit,disease
Klasse 9 E-Kurs,209,Kontinent,continent
Klasse 9 E-Kurs,209,Lebensweise,way of life
Klasse 9 E-Kurs,209,Gesundheit,health
Klasse 9 E-Kurs,209,Punkt; Puenktchen,dot
Klasse 9 E-Kurs,209,geheim; Geheimnis,secret
