classe,page,de,en
Klasse 9 E-Kurs,229,wiederholen,repeat
Klasse 9 E-Kurs,229,Strategie,strategy
Klasse 9 E-Kurs,229,veraergern; irritieren,irritate
Klasse 9 E-Kurs,229,(bei einer Party) ungebeten erscheinen,gatecrash (a party)
Klasse 9 E-Kurs,229,eine Weile; einige Zeit,a while
Klasse 9 E-Kurs,229,jn. / einen Ort erreichen,reach (sb / a place)
Klasse 9 E-Kurs,229,Schaden; Schaeden,damage
Klasse 9 E-Kurs,229,Reinemachen; Hausputz,clean-up
Klasse 9 E-Kurs,229,Fehler; Schuld,fault
Klasse 9 E-Kurs,229,eine/deine Lektion lernen,learn a/your lesson
Klasse 9 E-Kurs,229,sofort,straight away
Klasse 9 E-Kurs,229,"Typ (Art, Sorte)",type (of)
Klasse 9 E-Kurs,229,Themenpark; Freizeitpark,theme park
Klasse 9 E-Kurs,229,ein Jammer; schade,a shame
Klasse 9 E-Kurs,229,auf (... hinauf),onto
Klasse 9 E-Kurs,229,virtuell,virtual
Klasse 9 E-Kurs,229,Kampf,combat
Klasse 9 E-Kurs,229,unerwuenscht,unwanted
Klasse 9 E-Kurs,229,Moerder/in,killer
Klasse 9 E-Kurs,229,Virus; Viren,virus
Klasse 9 E-Kurs,229,sich mit etwas anstecken; sich etwas einfangen (Krankheit),catch sth.
Klasse 9 E-Kurs,229,realistisch,realistic
Klasse 9 E-Kurs,229,"das realistischste Spiel, das es je gegeben hat",the most realistic game ever
