classe,page,de,en
Klasse 5 E-Kurs,230,schnell,fast
Klasse 5 E-Kurs,230,interessant,interesting
Klasse 5 E-Kurs,230,"besondere(r, s)",special
Klasse 5 E-Kurs,230,die Eidechse,lizard
Klasse 5 E-Kurs,230,"ziemlich, ganz",quite
Klasse 5 E-Kurs,230,der Traum,dream
Klasse 5 E-Kurs,230,der Baum,tree
Klasse 5 E-Kurs,230,der Garten,garden
Klasse 5 E-Kurs,230,das Erdgeschoss,ground floor
Klasse 5 E-Kurs,230,"die Spitze, das obere Ende",top
Klasse 5 E-Kurs,230,die Wohnung,flat
Klasse 5 E-Kurs,230,der Balkon,balcony
Klasse 5 E-Kurs,230,die Garage,garage
Klasse 5 E-Kurs,230,er/sie/es hat,he/she/it has
Klasse 5 E-Kurs,230,"jede(r, s) (einzelne), jeweils",each
Klasse 5 E-Kurs,230,die Lampe,lamp
Klasse 5 E-Kurs,230,"die Tour, die Reise, der Rundgang / die Rundfahrt (durch)",tour (of)
Klasse 5 E-Kurs,230,das Schlafzimmer,bedroom
