classe,page,de,en
Klasse 5 E-Kurs,218,das Silber; silberfarben,silver
Klasse 5 E-Kurs,218,mit; bei,with
Klasse 5 E-Kurs,218,lesen,(to) read
Klasse 5 E-Kurs,218,"(etwas wohin) tun, legen, stellen, stecken",(to) put
Klasse 5 E-Kurs,218,"der Hut, die Mütze",hat
Klasse 5 E-Kurs,218,singen,(to) sing
Klasse 5 E-Kurs,218,Tut mir leid. / Entschuldigung.,Sorry. / I’m sorry.
Klasse 5 E-Kurs,218,das (dort),that
Klasse 5 E-Kurs,218,"fertig, bereit",ready
Klasse 5 E-Kurs,218,für,for
Klasse 5 E-Kurs,218,die Schule,school
Klasse 5 E-Kurs,218,bitte,please
Klasse 5 E-Kurs,218,"ruhig, still, leise",quiet
Klasse 5 E-Kurs,218,aufstehen,(to) stand up
Klasse 5 E-Kurs,218,sich hinsetzen,(to) sit down
Klasse 5 E-Kurs,218,jn. anschauen; sich etwas anschauen,(to) look at sb./sth.
Klasse 5 E-Kurs,218,öffnen; aufschlagen (Buch),(to) open
Klasse 5 E-Kurs,218,die Hand / die Hände hochstrecken,(to) put your hand(s) up
Klasse 5 E-Kurs,218,programmieren (Computer); kodieren,(to) code
Klasse 5 E-Kurs,218,das Programmieren,coding
Klasse 5 E-Kurs,218,der Code; die Vorwahl(nummer),code (noun)
Klasse 5 E-Kurs,218,"(zu Fuß) gehen, wandern",(to) walk
Klasse 5 E-Kurs,218,das Wandern,walking
Klasse 5 E-Kurs,218,der Spaziergang,walk (noun)
