classe,page,de,en
Klasse 8 E-Kurs,207,anbauen,grow
Klasse 8 E-Kurs,207,Wüste,desert
Klasse 8 E-Kurs,207,Bevölkerung,population
Klasse 8 E-Kurs,207,nennen,name
Klasse 8 E-Kurs,207,Küste,coast
Klasse 8 E-Kurs,207,Tal,valley
Klasse 8 E-Kurs,207,Ozean,ocean
Klasse 8 E-Kurs,207,Celsius,Celsius
Klasse 8 E-Kurs,207,Bild,image
Klasse 8 E-Kurs,207,Alleinerziehende,a single parent
Klasse 8 E-Kurs,207,es wird nicht gut bezahlt,it doesn’t pay very well
Klasse 8 E-Kurs,207,Teilzeitjob,part-time job
Klasse 8 E-Kurs,207,Das liegt daran,That’s because
Klasse 8 E-Kurs,207,Ostern,Easter
Klasse 8 E-Kurs,207,vielleicht,perhaps
Klasse 8 E-Kurs,207,auskommen,get on together
Klasse 8 E-Kurs,207,Seelöwe,sea lion
Klasse 8 E-Kurs,207,Strecke,route
Klasse 8 E-Kurs,207,einfache Fahrt,one way
Klasse 8 E-Kurs,207,Gehweg,sidewalk
Klasse 8 E-Kurs,207,zuwinken,wave to sb
