classe,page,de,en
Klasse 9 G-Kurs,167,"zuverlässig, verlässlich",reliable
Klasse 9 G-Kurs,167,pünktlich,punctual
Klasse 9 G-Kurs,167,(selbst)sicher; zuversichtlich,confident
Klasse 9 G-Kurs,167,dynamisch,dynamic
Klasse 9 G-Kurs,167,organisieren,organize
Klasse 9 G-Kurs,167,"Anzeige, Inserat, Annonce",ad (= advertisement)
Klasse 9 G-Kurs,167,"das Vereinigte Königreich (England, Schottland, Wales und Nordirland)",the UK (= the United Kingdom)
Klasse 9 G-Kurs,167,"Lehrling, Auszubildender",apprentice
Klasse 9 G-Kurs,167,"qualifiziert; ausgebildet, mit Abschluss",qualified
Klasse 9 G-Kurs,167,Arbeitszeiten,(working) hours (pl)
Klasse 9 G-Kurs,167,sich bewerben (um),apply (for)
Klasse 9 G-Kurs,167,Verkäufer/in,sales assistant
Klasse 9 G-Kurs,167,"Kommunikation, Verständigung",communication
Klasse 9 G-Kurs,167,"Bezahlung, Lohn",pay
Klasse 9 G-Kurs,167,"Versorgung, Betreuung",care
Klasse 9 G-Kurs,167,"Helferin, Assistent/in",assistant
Klasse 9 G-Kurs,167,Lebenslauf,CV (= curriculum vitae) (BE)
Klasse 9 G-Kurs,167,(be)nennen,name
Klasse 9 G-Kurs,167,Dokument,document
Klasse 9 G-Kurs,167,übersetzen,translate
Klasse 9 G-Kurs,167,entweder … oder …,either … or …
Klasse 9 G-Kurs,167,"persönliche Beschreibung, Selbstbeschreibung",personal statement
Klasse 9 G-Kurs,167,,ChatGPT fragen
