classe,page,de,en
Klasse 9 G-Kurs,162,eifersüchtig (auf); neidisch (auf),jealous (of)
Klasse 9 G-Kurs,162,"das Versenden von SMS; (Nachrichten-, Bild-)Übermittlung",messaging
Klasse 9 G-Kurs,162,Cybermobbing,cyberbullying
Klasse 9 G-Kurs,162,"scheußlich, ätzend, gemein",horrible
Klasse 9 G-Kurs,162,Druck,pressure
Klasse 9 G-Kurs,162,Druck ausüben auf,put pressure on
Klasse 9 G-Kurs,162,"Gruppendruck, Gruppenzwang",peer pressure
Klasse 9 G-Kurs,162,"Gleichaltrige/r, Ebenbürtige/r; jemand aus derselben sozialen Gruppe",peer
Klasse 9 G-Kurs,162,"Ich wollte (ja) nicht blöd aussehen, nicht wahr? / oder?","I didn’t want to look silly, did I?"
Klasse 9 G-Kurs,162,motivieren,motivate
Klasse 9 G-Kurs,162,Ladendiebstahl,shoplifting
Klasse 9 G-Kurs,162,schockiert,shocked
Klasse 9 G-Kurs,162,Schal,"scarf, pl scarves"
Klasse 9 G-Kurs,162,sich schämen (für),be/feel ashamed (of)
Klasse 9 G-Kurs,162,rauchen,smoke
Klasse 9 G-Kurs,162,Zigarette,cigarette
Klasse 9 G-Kurs,162,in etwas übereinstimmen; sich einig sein bei etwas,agree on sth.
Klasse 9 G-Kurs,162,ehrlich,honest
