classe,page,de,en
Klasse 9 G-Kurs,169,studieren; lernen,study
Klasse 9 G-Kurs,169,sich die Haare zusammenbinden,pull back one’s hair
Klasse 9 G-Kurs,169,Bluse,blouse
Klasse 9 G-Kurs,169,Lippenstift,lipstick
Klasse 9 G-Kurs,169,Kreditkarte,credit card
Klasse 9 G-Kurs,169,"heute Abend, heute Nacht",tonight
Klasse 9 G-Kurs,169,liegen,"lie, lay, lain"
Klasse 9 G-Kurs,169,(nach) unten (die Treppe hinunter),downstairs
Klasse 9 G-Kurs,169,spazieren gehen,go for a walk
Klasse 9 G-Kurs,169,Wahrheit,truth
Klasse 9 G-Kurs,169,"handeln, sich verhalten; so tun, als ob",act
Klasse 9 G-Kurs,169,reagieren (auf),react (to)
Klasse 9 G-Kurs,169,unehrlich,dishonest
Klasse 9 G-Kurs,169,Rechte,rights (pl)
Klasse 9 G-Kurs,169,,ChatGPT fragen
