classe,page,de,en
Klasse 5 G-Kurs,217,die Musik,music
Klasse 5 G-Kurs,217,zeichnen,(to) draw
Klasse 5 G-Kurs,217,tanzen,(to) dance
Klasse 5 G-Kurs,217,schwimmen,(to) swim
Klasse 5 G-Kurs,217,das Foto,photo
Klasse 5 G-Kurs,217,Fotos machen,(to) take photos
Klasse 5 G-Kurs,217,"lieben, sehr mögen",(to) love
Klasse 5 G-Kurs,217,Ich mag Fußball nicht. / Ich mag keinen Fußball.,I don’t like football.
Klasse 5 G-Kurs,217,die Gitarre,guitar
Klasse 5 G-Kurs,217,das Fahrrad,bike
Klasse 5 G-Kurs,217,"die (Schirm-)Mütze, die Kappe",cap
Klasse 5 G-Kurs,217,die Kette,chain
Klasse 5 G-Kurs,217,das Buch,book
Klasse 5 G-Kurs,217,"das Handy, das Telefon",phone
Klasse 5 G-Kurs,217,der (Tret-)Roller,scooter
Klasse 5 G-Kurs,217,klein,small
Klasse 5 G-Kurs,217,neu,new
Klasse 5 G-Kurs,217,groß,big
Klasse 5 G-Kurs,217,"dies; diese(r, s)",this
Klasse 5 G-Kurs,217,das Gold; goldfarben,gold
