classe,page,de,en
Klasse 5 G-Kurs,222,fragen,(to) ask
Klasse 5 G-Kurs,222,das Klassenzimmer,classroom
Klasse 5 G-Kurs,222,der Stundenplan,timetable
Klasse 5 G-Kurs,222,die (Unterrichts-)Stunde,lesson
Klasse 5 G-Kurs,222,sie sind,they’re (= they are)
Klasse 5 G-Kurs,222,sie sind nicht,they aren’t
Klasse 5 G-Kurs,222,"der Raum, das Zimmer",room
Klasse 5 G-Kurs,222,schlafen,(to) be asleep
Klasse 5 G-Kurs,222,er ist,he’s (= he is)
Klasse 5 G-Kurs,222,er ist nicht,he isn’t (= he is not)
Klasse 5 G-Kurs,222,"denken, meinen, glauben",(to) think
Klasse 5 G-Kurs,222,Recht haben,(to) be right
Klasse 5 G-Kurs,222,wir sind,we’re (= we are)
Klasse 5 G-Kurs,222,alle(s),all
Klasse 5 G-Kurs,222,die Pause,break
Klasse 5 G-Kurs,222,bald,soon
Klasse 5 G-Kurs,222,die Minute,minute
Klasse 5 G-Kurs,222,sie ist,she’s (= she is)
