classe,page,de,en
Klasse 5 G-Kurs,238,"senden, schicken",(to) send
Klasse 5 G-Kurs,238,"nächste(r, s)",next
Klasse 5 G-Kurs,238,Leute (als Anrede verwendet),guys (pl)
Klasse 5 G-Kurs,238,sich fühlen; fühlen,(to) feel
Klasse 5 G-Kurs,238,Mitleid haben mit jm.,(to) be/feel sorry for sb.
Klasse 5 G-Kurs,238,sie; ihr,her
Klasse 5 G-Kurs,238,"dumm, blöd; albern",stupid
Klasse 5 G-Kurs,238,hassen,(to) hate
Klasse 5 G-Kurs,238,viel; sehr,much
Klasse 5 G-Kurs,238,Gut gemacht!,Well done.
Klasse 5 G-Kurs,238,die Nachrichten,news
Klasse 5 G-Kurs,238,(sich etwas) holen/besorgen; bekommen,(to) get
Klasse 5 G-Kurs,238,als Gewinner/in,as the winner
Klasse 5 G-Kurs,238,das Geld,money
Klasse 5 G-Kurs,238,die Überschrift,heading
Klasse 5 G-Kurs,238,herausfinden; sich informieren (über),(to) find out (about)
Klasse 5 G-Kurs,238,jm. etwas erklären,(to) explain sth. to sb.
Klasse 5 G-Kurs,238,"(jm.) geschehen, passieren",(to) happen (to sb.)
Klasse 5 G-Kurs,238,geben,(to) give
Klasse 5 G-Kurs,238,,ChatGPT fragen
